state	deck	nply	cand	move0	move	prio	dQ_est	se_est	dQ_refA	se_refA	dQ_refB	se_refB
18	7	39	3	G8p0	G8p1	0.118	-1.24	1.63	0.30	2.25	-1.00	0.51
18	7	39	4	G8p0	G8p4	0.082	-1.36	1.54	2.03	2.07	-0.57	0.52
19	6	40	1	B8p0	G10p0	0.066	-1.82	0.69	-3.16	0.76	-2.59	0.28
19	6	40	2	B8p0	B8p1	0.049	-2.34	1.48	-0.98	1.77	-2.22	0.44
19	6	40	3	B8p0	B8p4	0.043	-2.53	1.47	-2.72	1.86	-2.57	0.44
19	6	40	4	B8p0	B8p3	0.040	-2.30	1.48	-2.86	1.73	-2.10	0.43
20	14	32	1	R2p0	Y10p0	0.359	-1.21	1.29	-1.23	1.82	-1.43	0.57
20	14	32	2	R2p0	G6p0	0.118	2.90	2.77	0.34	1.39	0.20	0.66
20	14	32	3	R2p0	W4d0	0.110	-3.71	1.63	-0.20	1.71	-7.67	0.66
20	14	32	4	R2p0	R3p0	0.025	-4.39	1.75	-6.23	2.44	-6.73	0.65
21	13	33	1	G5p0	W6d0	0.170	1.59	3.06	2.23	2.19	0.80	0.89
21	13	33	2	G5p0	Y7p0	0.133	-3.16	1.80	-3.98	2.23	-2.12	0.67
22	12	34	1	Y10p0	R3p0	0.331	0.77	0.98	0.16	2.11	0.66	0.52
22	12	34	2	Y10p0	G6p0	0.141	1.80	2.18	-0.98	1.58	0.95	0.73
22	12	34	3	Y10p0	W4d0	0.091	-4.72	1.59	-2.22	1.88	-5.67	0.65
23	11	35	1	Wxd0	G7p0	0.252	-2.30	1.43	-0.38	2.28	-1.65	0.56
23	11	35	2	Wxd0	Y7p0	0.158	-6.29	1.67	-1.89	2.04	-1.88	0.59
24	10	36	1	R3p0	G6p0	0.190	0.02	0.87	0.88	1.68	1.03	0.64
24	10	36	2	R3p0	Gxp0	0.157	-7.11	1.82	-9.12	2.34	-7.62	0.66
24	10	36	3	R3p0	W4d0	0.062	-5.95	1.48	-7.47	2.24	-6.17	0.63
25	9	37	1	G7p0	Bxd0	0.214	4.71	3.37	0.08	2.09	2.21	0.87
25	9	37	2	G7p0	Y7p0	0.175	-1.83	2.12	0.00	2.05	-0.68	0.64
26	8	38	1	G6p0	Gxp0	0.054	-12.35	2.51	-11.80	2.07	-13.35	0.67
26	8	38	2	G6p0	G6p3	0.032	2.14	1.18	-2.73	2.61	-3.30	0.73
26	8	38	3	G6p0	G6p1	0.031	4.71	1.70	-1.84	2.87	-3.81	0.72
26	8	38	4	G6p0	R7p0	0.030	-5.45	2.56	-7.75	1.98	-5.91	0.60
27	7	39	1	G7p0	W6d0	0.266	-0.82	1.69	0.83	1.54	-2.03	0.50
